MJD,MAG,DMAG,INST
58846.30799030093,15.7976,0.010039044576054,lcogt
58847.304845405095,15.638,0.00924690737490108,lcogt
58848.30188799769,15.5617,0.0084508561104778,lcogt
58849.299065694446,15.5012,0.010031878986511,lcogt
58849.323,15.419,0.007,Swope
58850.29737680555,15.3701,0.00865285178423853,lcogt
58850.349,15.302,0.006,Swope
58851.314,15.256,0.007,Swope
58851.338679594905,15.2926,0.00855600660355051,lcogt
58852.299,15.227,0.007,Swope
58852.338924895834,15.2496,0.00850981762436775,lcogt
58853.357,15.141,0.007,Swope
58853.4210312037,15.1535,0.00949344242095564,lcogt
58854.50670239583,15.1738,0.0139392797877078,lcogt
58855.50669329861,15.1492,0.00758028502102658,lcogt
58856.669132800926,15.106,0.0127914174742286,lcogt
58857.67292390046,15.0782,0.0166484714013029,lcogt
58859.021266400465,15.1192,0.0121757956618859,lcogt
58859.674408900464,15.1019,0.0129394319813506,lcogt
58861.015982997684,15.1967,0.0191651376201686,lcogt
58862.01363920139,15.2,0.0128766494089107,lcogt
58866.34093280093,15.5667,0.0088349677984699,lcogt
58867.42330650463,15.6006,0.00814839591576158,lcogt
58869.326,15.664,0.007,Swope
58869.637605104166,15.7465,0.00875591965472503,lcogt
58871.301,15.748,0.007,Swope
58872.323,15.781,0.007,Swope
58872.33059280093,15.84,0.00884369883024066,lcogt
58873.32925689815,15.9576,0.0871129433551639,lcogt
58874.321,15.893,0.009,Swope
58875.307953599535,15.9408,0.00793615580744229,lcogt
58876.33960890046,16.0562,0.00924889317702394,lcogt
58877.426112395835,16.0359,0.00841346563551549,lcogt
58878.61199579861,16.0776,0.00950161170538978,lcogt
