1999an    II-P 3.55 0.06 5.38 0.00
1999br    II-P 3.55 0.06 4.98 0.00
1999em    II-P 3.60 0.06 5.01 0.00
1999gi    II-P 3.55 0.06 4.85 0.00
2001du    II-P 3.60 0.06 4.82 0.00
2002hh    II-P 3.67 0.08 5.59 0.00
2003gd    II-P 3.557 0.02 4.28 0.09
2004A     II-P 3.67 0.08 4.90 0.10
2004dg    II-P 3.67 0.08 4.66 0.00
2004et    II-P 3.53 0.01 4.77 0.07
2005cs    II-P 3.556 0.02 4.38 0.07
2006bc    II-P 3.67 0.08 4.59 0.00
2006my    II-P 3.67 0.08 4.97 0.20
2006ov    II-P 3.67 0.08 4.47 0.00
2007aa    II-P 3.55 0.06 4.76 0.00
2008bk    II-P 3.54 0.02 4.53 0.07
2009hd    II-L 3.654 0.02 5.24 0.08
2009md    II-P 3.519 0.02 4.50 0.20
2009kr    II-L 3.58 0.15 5.13 0.23
2012A     II-P 3.54 0.02 4.57 0.09
2012aw    II-P 3.67 0.08 4.92 0.12
2012ec    II-P 3.654 0.02 5.16 0.07
2013ej    II-P 3.58 0.02 4.69 0.07
2017eaw    II-P 3.49 0.05 4.95 0.10
2018aoq    II-P 3.544 0.02 4.63 0.12
2020jfo    II-P 3.54 0.02 4.22 0.09
2022acko   II-P 3.67 0.08 4.46 0.09
2023ixf    II-P 3.593 0.02 5.06 0.31
2024ggi    II-P 3.518 0.01 4.90 0.05
