Sm10p50 2.04 4.66 258.5 3.72 2.041 1.360 0.000 0.000 0.660 0.97 -1.52 -6.16 0.12  x
Sm10p200 2.73 4.43 139.0 3.80 2.726 1.391 0.000 0.000 1.294 0.98 -99.00 -6.69 -0.64  x
Sm10p400 3.12 4.52 429.0 3.57 2.976 1.501 0.142 0.047 1.507 0.54 -11.29 -6.16 -0.20  IIb-R
Sm10p600 3.29 4.59 532.2 3.55 3.084 1.541 0.211 0.110 1.573 0.40 -7.51 -5.98 -0.15  IIb-R
Sm10p800 3.55 4.61 598.5 3.53 3.105 1.554 0.444 0.262 1.656 0.34 -6.54 -5.91 -0.14  IIb-R
Sm10p1000 4.04 4.61 633.9 3.51 3.116 1.560 0.926 0.588 1.808 0.31 -6.33 -5.89 -0.13 x
Sm11p20 2.98 4.57 73.0 3.97 2.978 1.528 0.000 0.000 1.391 0.98 -35.55 -6.73 -0.15  Ib
Sm11p50 3.01 4.59 56.3 4.03 3.005 1.539 0.000 0.000 1.404 0.98 -99.00 -6.04 -0.64  Ib
Sm11p200 3.07 4.60 32.5 4.16 3.069 1.563 0.000 0.000 1.438 0.98 -99.00 -5.94 -0.92  Ib
Sm11p300 3.16 4.63 19.2 4.28 3.158 1.598 0.000 0.000 1.487 0.98 -99.00 -5.90 -0.96  Ib
Sm11p400 3.47 4.68 458.4 3.60 3.330 1.679 0.141 0.033 1.664 0.67 -11.29 -5.92 -0.17  IIb-R
Sm11p500 3.55 4.69 511.9 3.58 3.387 1.709 0.166 0.052 1.689 0.53 -8.58 -5.86 -0.15  IIb-R
Sm11p600 3.66 4.70 565.4 3.56 3.459 1.743 0.198 0.082 1.719 0.46 -6.76 -5.81 -0.12  IIb-R
Sm11p700 3.71 4.71 586.9 3.56 3.497 1.765 0.212 0.096 1.732 0.41 -6.57 -5.78 -0.13  IIb-R
Sm11p800 3.79 4.75 642.2 3.55 3.544 1.888 0.246 0.127 1.636 0.37 -5.79 -5.69 -0.11  IIb-R
Sm11p1000 4.04 4.72 675.4 3.53 3.547 1.790 0.495 0.285 1.840 0.34 -6.08 -5.72 -0.12  IIb-R
Sm11p1200 4.39 4.76 743.2 3.52 3.575 1.903 0.818 0.507 1.831 0.31 -5.30 -5.63 -0.10  IIb-R
Sm11p1400 5.62 4.73 732.9 3.51 3.606 1.816 2.018 1.316 2.323 0.30 -5.75 -5.67 -0.09  IIL/IIP
Sm13p50 3.88 4.82 6.5 4.56 3.878 2.095 0.000 0.000 1.627 0.98 -99.00 -5.65 -0.95  Ib
Sm13p500 3.96 4.84 6.2 4.58 3.957 2.144 0.000 0.000 1.645 0.98 -99.00 -5.63 -0.99  Ib
Sm13p1200 4.86 4.93 743.2 3.56 4.567 2.419 0.288 0.133 2.078 0.38 -8.04 -5.40 -0.17  IIb-R
Sm13p1500 5.12 4.94 828.3 3.54 4.618 2.461 0.505 0.278 2.152 0.34 -5.67 -5.35 -0.11  IIb-R
Sm13p1700 5.33 4.94 866.6 3.53 4.629 2.461 0.699 0.407 2.225 0.33 -5.28 -5.33 -0.10  IIb-R
Sm13p2000 6.08 4.95 933.4 3.51 4.666 2.487 1.411 0.890 2.447 0.30 -4.85 -5.29 -0.09  IIL/IIP
Sm16p50 4.99 5.05 4.9 4.68 4.994 3.182 0.000 0.000 1.659 0.98 -99.00 -5.35 -0.96  Ib
Sm16p300 5.01 5.06 5.1 4.67 5.009 3.208 0.000 0.000 1.649 0.98 -99.00 -5.34 -0.99  Ib
Sm16p1700 6.08 5.14 3.2 4.79 6.056 3.644 0.024 0.001 2.250 0.94 -99.00 -5.27 -1.00  IIb-
Sm16p1800 6.19 5.16 27.5 4.33 6.098 3.678 0.096 0.011 2.293 0.76 -99.00 -5.40 -0.98  IIb-
Sm16p1900 6.43 5.12 364.4 3.76 6.157 3.700 0.273 0.073 2.496 0.62 -99.00 -5.39 -0.67  IIb-Y
Sm16p2000 6.42 5.18 748.1 3.62 6.189 3.725 0.231 0.059 2.418 0.62 -24.11 -5.07 -0.35  IIb-R
Sm16p2200 6.48 5.15 717.3 3.62 6.214 3.746 0.262 0.074 2.470 0.62 -28.71 -5.12 -0.39  IIb-R
Sm16p2400 6.53 5.18 822.2 3.60 6.267 3.893 0.262 0.078 2.300 0.62 -19.33 -5.03 -0.31  IIb-R
Sm16p2600 6.76 5.18 974.9 3.56 6.285 3.805 0.479 0.204 2.531 0.46 -8.91 -4.97 -0.18  IIb-R
Sm16p2700 7.33 5.18 1121.5 3.53 6.307 3.815 1.021 0.575 2.693 0.36 -4.42 -4.91 -0.07  IIL/IIP
Sm18p50 5.44 5.10 2.1 4.88 5.440 3.478 0.000 0.000 1.571 0.98 -99.00 -5.29 -0.98  Ib
Sm18p500 5.55 5.10 1.9 4.90 5.548 3.536 0.000 0.000 1.613 0.98 -99.00 -5.29 -1.00  Ib
Sm18p2000 6.62 5.19 1.7 4.94 6.624 4.330 0.000 0.000 2.158 0.98 -99.00 -5.18 -1.00  Ib
Sm18p2200 7.04 5.16 1.7 4.93 6.953 4.411 0.084 0.007 2.526 0.81 -99.00 -5.36 -1.00  IIb-
Sm18p2400 7.28 5.26 710.3 3.65 7.047 4.458 0.231 0.050 2.565 0.67 -41.32 -4.97 -0.46  IIb-R
Sm18p2800 7.37 5.27 794.0 3.63 7.126 4.623 0.243 0.058 2.475 0.67 -32.79 -4.92 -0.41  IIb-R
Sm18p3000 7.43 5.27 818.4 3.62 7.170 4.594 0.264 0.066 2.561 0.67 -30.71 -4.91 -0.39  IIb-R
Sm18p3100 7.92 5.27 1140.1 3.55 7.203 4.585 0.720 0.349 2.767 0.37 -7.41 -4.79 -0.15  IIb-R
