# %ECSV 0.9
# ---
# datatype:
# - {name: MJD, datatype: string}
# - {name: Instrument, datatype: string}
# - {name: Filter, datatype: string}
# - {name: Exposure, datatype: float64}
# - {name: Magnitude, datatype: float64}
# - {name: Uncertainty, datatype: float64}
# meta: !!omap
# - {name: 2017eaw}
# - {ra: 308.684333}
# - {dec: 60.193289}
# - {distance: 6.72}
# - {dist_error: 0.15}
# - {host_ebv: 0.0}
# - {host_rv: 3.1}
# - {magsystem: ab}
# - {host_galaxy: NGC_6946}
# - {ads: https://ui.adsabs.harvard.edu/abs/2018MNRAS.481.2536K}
# schema: astropy-2.0
MJD          Instrument   Filter   Exposure       Magnitude Uncertainty Use
53216.03     ACS/WFC      F814W    120.0000       25.550    0.0360      1
53216.04     ACS/WFC      F658N    700.0000       23.600    0.0000      1
57427.76     WFC3/IR      F128N    2823.48        19.771    0.0320      1
57427.83     WFC3/IR      F110W    455.88         20.712    0.0120      1
57685.64     WFC3/IR      F160W    396.92         19.377    0.0070      1
57685.64     WFC3/IR      F164N    2396.93        19.109    0.0120      1
57687.74     ACS/WFC      F606W    2430.0000      26.366    0.0490      1
57687.81     ACS/WFC      F814W    2570.0000      22.825    0.0090      1
53166.763    Spitzer/IRAC Ch1      0.0            20.7754   0.2322      1
53166.763    Spitzer/IRAC Ch2      0.0            21.2981   0.1330      1
53166.763    Spitzer/IRAC Ch3      0.0            20.4745   0.0000      1
53166.763    Spitzer/IRAC Ch4      0.0            19.3224   0.0000      1
53260.291    Spitzer/IRAC Ch1      0.0            20.4648   0.1586      1
53260.291    Spitzer/IRAC Ch2      0.0            21.0968   0.1097      1
53260.291    Spitzer/IRAC Ch3      0.0            20.6974   0.0000      1
53260.291    Spitzer/IRAC Ch4      0.0            19.4171   0.0000      1
53334.741    Spitzer/IRAC Ch1      0.0            20.9722   0.2763      1
53334.741    Spitzer/IRAC Ch2      0.0            21.2568   0.1059      1
53334.741    Spitzer/IRAC Ch3      0.0            20.2079   0.0000      1
53334.741    Spitzer/IRAC Ch4      0.0            19.1758   0.0000      1
53571.226    Spitzer/IRAC Ch1      0.0            20.8181   0.2300      1
53571.226    Spitzer/IRAC Ch2      0.0            21.3872   0.1649      1
53571.226    Spitzer/IRAC Ch3      0.0            20.2858   0.0000      1
53571.226    Spitzer/IRAC Ch4      0.0            19.3716   0.0000      1
53734.886    Spitzer/IRAC Ch4      0.0            19.0535   0.0000      1
53959.500    Spitzer/IRAC Ch3      0.0            20.2154   0.0000      1
54065.906    Spitzer/IRAC Ch2      0.0            21.1609   0.1432      1
54065.906    Spitzer/IRAC Ch4      0.0            19.2050   0.0000      1
54098.031    Spitzer/IRAC Ch2      0.0            21.2131   0.2458      1
54098.031    Spitzer/IRAC Ch4      0.0            19.1065   0.0000      1
