# %ECSV 0.9
# ---
# datatype:
# - {name: MJD, datatype: string}
# - {name: Instrument, datatype: string}
# - {name: Filter, datatype: string}
# - {name: Exposure, datatype: float64}
# - {name: Magnitude, datatype: float64}
# - {name: Uncertainty, datatype: float64}
# - {name: Use, datatype: uint8}
# meta: !!omap
# - {name: 2023ixf }
# - {ra: 210.910674637 }
# - {dec: 54.3116510708 }
# - {distance: 6.85 }
# - {dist_error: 0.15 }
# - {host_ebv: 0.033 }
# - {host_rv: 3.1 }
# - {magsystem: ab }
# - {host_galaxy: M101 }
# - {discovery_date: 2023-05-19T17:27:15.000 }
# schema: astropy-2.0
MJD            Instrument     Filter  Exposure        Magnitude Uncertainty Use
52594.02153833 ACS/WFC        F814W     720.000       24.881    0.059       1
53045.00689815 ACS/WFC        F658N    2440.000       25.332    0.284       0
58207.43844907 ACS/WFC        F658N    5770.000       25.488    0.000       0
52594.00959491 ACS/WFC        F555W     720.000       27.099    0.000       0
52593.99328704 ACS/WFC        F435W     900.000       27.393    0.000       1
58207.45609954 ACS/WFC        F435W    7423.000       27.799    0.000       1
51261.03903935 WFPC2          F675W     900.000       26.422    0.230       0
51346.05293357 WFPC2          F547M    1000.000       26.416    0.000       1
51261.11195602 WFPC2          F547M    1420.000       26.273    0.000       1
52878.32239583 WFPC2          F336W    2400.000       27.025    0.000       1
51260.97862269 WFPC2          F656N    1360.000       23.433    0.000       0
51345.98973380 WFPC2          F656N    1200.000       23.776    0.000       0
56735.85706019 WFC3/UVIS      F673N    1310.000       24.629    0.000       0
-------------- Spitzer/IRAC   Ch1     20628.000       20.537    0.234       1
-------------- Spitzer/IRAC   Ch2     23990.000       20.450    0.220       1
55304.50416667 Gemini/NIRI    Kcont    2550.000       20.719    0.081       0
56109.29688079 Mayall/NEWFIRM Ks        920.000       20.740    0.151       0
56108.28935417 Mayall/NEWFIRM H         750.000       20.359    0.000       0
56107.32408565 Mayall/NEWFIRM J         540.000       20.184    0.000       0
53072.090300   Spitzer/IRAC   Ch1         0.0         20.2145   0.0809      1
53072.090300   Spitzer/IRAC   Ch2         0.0         20.2452   0.1027      1
53072.090300   Spitzer/IRAC   Ch3         0.0         20.3305   0.0000      1
53072.090300   Spitzer/IRAC   Ch4         0.0         20.1858   0.0000      1
53072.490100   Spitzer/IRAC   Ch1         0.0         20.2437   0.1078      1
53072.490100   Spitzer/IRAC   Ch2         0.0         20.3399   0.1395      1
53072.490100   Spitzer/IRAC   Ch3         0.0         20.3217   0.0000      1
53072.490100   Spitzer/IRAC   Ch4         0.0         20.1815   0.0000      1
55960.722600   Spitzer/IRAC   Ch1         0.0         20.7728   0.1524      1
55980.993400   Spitzer/IRAC   Ch1         0.0         20.7925   0.1514      1
56165.011700   Spitzer/IRAC   Ch2         0.0         20.7710   0.1539      1
56337.065400   Spitzer/IRAC   Ch1         0.0         20.8265   0.1774      1
56348.105600   Spitzer/IRAC   Ch1         0.0         20.6739   0.1380      1
